model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
polrights_fh ~ corruption_perception_index_cpi + murder_per_mil_people,0.4857791516306215,0.48418466837986385,0.5644827237677829,304.66243618411147,7.010870914134024e-94,2,-547.4128023157783,1102.8256046315566,1120.7211674169657,205.52328080383035,645,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person,0.15159430442655447,0.14896358909144303,0.7250661028140742,57.62474654831163,9.433070123531142e-24,2,-709.6415776517778,1427.2831553035555,1445.1787180889646,339.0899504752434,645,648
polrights_fh ~ edu_exp_gdp_per_person + gini,0.33064753487025106,0.328572023350469,0.6440257736840257,159.30893744446854,5.938744797208361e-57,2,-632.8379735256001,1273.6759470512002,1291.5715098366093,267.52613217420355,645,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users,0.22284553745712715,0.22043575617792455,0.6939520882744156,92.47542064517043,4.88223642668438e-36,2,-681.2203586035826,1370.440717207165,1388.3362799925742,310.6123280291724,645,648
polrights_fh ~ edu_exp_gdp_per_person + labour_force_participation_rate_percent,0.09422673218777057,0.09141813290773271,0.7491789460203553,33.54936849036662,1.3765388637332293e-14,2,-730.8409243708597,1469.6818487417195,1487.5774115271286,362.01856508830997,645,648
polrights_fh ~ edu_exp_gdp_per_person + life_expectancy_years,0.12099030390098711,0.11826469244021498,0.7380276745080327,44.390150849568265,8.66876401205942e-19,2,-721.1231632134339,1450.2463264268679,1468.141889212277,351.3217271791289,645,648
polrights_fh ~ edu_exp_gdp_per_person + military_spending_pct_of_gdp,0.19883016924178498,0.19634592170455023,0.7045926490193395,80.03637570799548,8.936743296270588e-32,2,-691.0809175506672,1390.1618351013344,1408.0573978867435,320.2107666785981,645,648
polrights_fh ~ edu_exp_gdp_per_person + murder_per_mil_people,0.3103063324676145,0.30816774745201025,0.6537383065317472,145.09889960111397,9.260552912623417e-53,2,-642.5374850025213,1293.0749700050426,1310.9705327904517,275.6560838604129,645,648
polrights_fh ~ electricity_use_per_person + gini,0.341891247373038,0.3398506000780708,0.638593726636279,167.5405878400523,2.517662703230308e-59,2,-627.3492256447621,1262.6984512895242,1280.5940140749333,263.0322562659909,645,648
polrights_fh ~ electricity_use_per_person + internet_users,0.22845723169851923,0.22606485102161544,0.6914420966718052,95.49367870425421,4.716301918862414e-37,2,-678.8723245844213,1365.7446491688427,1383.6402119542518,308.3694516171868,645,648
polrights_fh ~ electricity_use_per_person + labour_force_participation_rate_percent,0.11039825144789829,0.10763979641362831,0.7424609699159386,40.02176946020469,4.1265773127501034e-17,2,-725.0040224443858,1458.0080448887716,1475.9036076741806,355.555148242293,645,648
polrights_fh ~ electricity_use_per_person + life_expectancy_years,0.13036096085384796,0.12766440569370496,0.734083272913108,48.343517232901576,2.7342383791853076e-20,2,-717.6506282734565,1443.301256546913,1461.196819332322,347.5764722631793,645,648
polrights_fh ~ electricity_use_per_person + military_spending_pct_of_gdp,0.199641477672688,0.19715974582051043,0.7042358041115206,80.44441928627512,6.445773303566171e-32,2,-690.7526511748744,1389.5053023497487,1407.4008651351578,319.8865037262271,645,648
polrights_fh ~ electricity_use_per_person + murder_per_mil_people,0.3394703805550778,0.3374222266963339,0.6397671886689608,165.74456997252253,8.227460083080673e-59,2,-628.5388796800984,1265.0777593601968,1282.9733221456058,263.9998259248137,645,648
polrights_fh ~ gini + internet_users,0.37247323941016447,0.37052741999748284,0.623579658529548,191.42230619275955,5.450055121044521e-66,2,-611.9320489258256,1231.8640978516512,1249.7596606370603,250.80927589302883,645,648
polrights_fh ~ gini + labour_force_participation_rate_percent,0.36175580952948666,0.35977675777608975,0.6288821233660062,182.79249590545137,1.283115349671224e-63,2,-617.418871426055,1242.83774285211,1260.7333056375192,255.09280768262215,645,648
polrights_fh ~ gini + life_expectancy_years,0.345203467977077,0.3431730911335952,0.6369846982041231,170.0194075229311,4.946574115974261e-60,2,-625.7144363495842,1259.4288726991683,1277.3244354845774,261.7084312062976,645,648
polrights_fh ~ gini + military_spending_pct_of_gdp,0.34635733671776364,0.34433053776184985,0.6364232101844358,170.88884702014585,2.800761028202835e-60,2,-625.1429866861411,1258.2859733722821,1276.1815361576912,261.2472540876434,645,648
polrights_fh ~ gini + murder_per_mil_people,0.3705479563209963,0.3685961670382708,0.624535512531772,189.8503898963629,1.4637063543112008e-65,2,-612.924575142789,1233.849150285578,1251.744713070987,251.57877113659336,645,648
polrights_fh ~ internet_users + labour_force_participation_rate_percent,0.20937595502172393,0.20692440759543473,0.6999400167363878,85.40563106243665,1.24546316577076e-33,2,-686.7877931247768,1381.5755862495537,1399.4711490349628,315.99583743366304,645,648
polrights_fh ~ internet_users + life_expectancy_years,0.20928229808688842,0.2068304602514991,0.699981472783473,85.35731648567302,1.2939614573287205e-33,2,-686.8261717320346,1381.6523434640692,1399.5479062494783,316.0332701448774,645,648
polrights_fh ~ internet_users + military_spending_pct_of_gdp,0.27201013974911625,0.2697528068491136,0.6716429795689457,120.5006757083929,3.4309866469860096e-45,2,-660.0463092332467,1328.0926184664934,1345.9881812519025,290.96226834274205,645,648
polrights_fh ~ internet_users + murder_per_mil_people,0.36998592090560617,0.36803238887740664,0.6248142730509985,189.39332223110594,1.9518983262174515e-65,2,-613.2137444715728,1234.4274889431456,1252.3230517285547,251.8034048963198,645,648
polrights_fh ~ labour_force_participation_rate_percent + life_expectancy_years,0.08065682522884096,0.0778061487179228,0.7547700220599853,28.2939242386566,1.6654980414864396e-12,2,-735.6589521648642,1479.3179043297284,1497.2134671151375,367.4421720992778,645,648
polrights_fh ~ labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.16300562972799099,0.16041029834730258,0.7201734106947045,62.80725110515731,1.196790533359056e-25,2,-705.2541019761502,1418.5082039523004,1436.4037667377095,334.5290832492101,645,648
polrights_fh ~ labour_force_participation_rate_percent + murder_per_mil_people,0.3725179844593363,0.37057230379099315,0.6235574263303534,191.45895342453926,5.326154117776711e-66,2,-611.9089456675638,1231.8178913351276,1249.7134541205367,250.7913922359685,645,648
polrights_fh ~ life_expectancy_years + military_spending_pct_of_gdp,0.19770326460853568,0.1952155227933684,0.7050880057330168,79.47097379767189,1.406195071369505e-31,2,-691.5363273097396,1391.0726546194792,1408.9682174048883,320.661166809423,645,648
polrights_fh ~ life_expectancy_years + murder_per_mil_people,0.3040238034230431,0.30186573769722314,0.6567090595814888,140.87791663876231,1.7246048242465116e-51,2,-645.475491249466,1298.950982498932,1316.8465452843411,278.16707886398024,645,648
polrights_fh ~ military_spending_pct_of_gdp + murder_per_mil_people,0.39734458281492113,0.39547588384690546,0.6110972745430648,212.63167027744217,1.1810638436685559e-71,2,-598.829252237243,1205.658504474486,1223.5540672598952,240.86872192530546,645,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person,0.4533064417754059,0.45075973265324165,0.5824849602288291,177.9969443036253,4.891552691815476e-84,3,-567.2531313863356,1144.506262772671,1166.8757162544325,218.50194140695075,644,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini,0.5038875453846274,0.5015764625215124,0.5548847676706888,218.0309297544795,1.3662094659848283e-97,3,-535.797332584046,1081.594665168092,1103.9641186498534,198.2857358730626,644,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users,0.4547827210006416,0.4522428889556136,0.5816979638038754,179.06015552914872,2.051203347304256e-84,3,-566.3770254917616,1142.7540509835233,1165.1235044652847,217.9119035842621,644,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + labour_force_participation_rate_percent,0.4728453663144307,0.4703896770270757,0.5719811969514281,192.55097489296037,4.064812413408192e-89,3,-555.4613150841394,1120.9226301682788,1143.2920836500402,210.69264334489654,644,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + life_expectancy_years,0.4541866026895991,0.4516439936959171,0.5820158793297824,178.63014085853774,2.914343476985523e-84,3,-566.7310803431811,1143.4621606863623,1165.8316141681237,218.15015956206074,644,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + military_spending_pct_of_gdp,0.49966513243697974,0.4973343799483322,0.5572410766998757,214.37931949904478,2.0838530926083384e-96,3,-538.5432278321762,1087.0864556643523,1109.4559091461138,199.97334570969406,644,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + murder_per_mil_people,0.4948608232077676,0.4925076903966237,0.559910051667891,210.29872213935877,4.499592752401974e-95,3,-541.6394948024715,1093.278989604943,1115.6484430867044,201.8935272774288,644,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini,0.5025898953948664,0.5002727675783829,0.5556099822629905,216.90210260286528,3.1641807088700186e-97,3,-536.6436925018148,1083.2873850036297,1105.656838485391,198.8043793393407,644,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users,0.43512824692944085,0.4324968567753855,0.5920899193728957,165.360597043672,1.7985449178436367e-79,3,-577.851267566043,1165.702535132086,1188.0719886138475,225.76738436921337,644,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + labour_force_participation_rate_percent,0.4513928474173416,0.44883722403574544,0.5835035072970591,176.6272959732443,1.5037383005642449e-83,3,-568.3852500761496,1146.7705001522993,1169.1399536340607,219.26676491001214,644,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + life_expectancy_years,0.4281793181090767,0.42551555716859113,0.5957206677121721,160.74239681245922,9.146833392540015e-78,3,-581.8127278810761,1173.6254557621521,1195.9949092439135,228.54472537699692,644,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + military_spending_pct_of_gdp,0.4745733818869485,0.4721257423615771,0.5710429487871792,193.89022646827283,1.4147151906573948e-89,3,-554.3974968800333,1118.7949937600665,1141.164447241828,210.00199178755472,644,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + murder_per_mil_people,0.4858249247048524,0.4834296991988192,0.5648956731399074,202.83055749077297,1.344579452514082e-92,3,-547.383960357697,1104.767920715394,1127.1373741971554,205.50498626672976,644,648
polrights_fh ~ corruption_perception_index_cpi + gini + internet_users,0.500965209350229,0.49864051312049407,0.5565166344037381,215.49706277423817,9.027873854712516e-97,3,-537.7002461505751,1085.4004923011503,1107.7699457829117,199.45373225303317,644,648
polrights_fh ~ corruption_perception_index_cpi + gini + labour_force_participation_rate_percent,0.5036700146408021,0.5013579184357126,0.5550064046772604,217.84128771636475,1.5729960523675094e-97,3,-535.9393659338692,1081.8787318677385,1104.2481853494999,198.37267834590958,644,648
polrights_fh ~ corruption_perception_index_cpi + gini + life_expectancy_years,0.5013725781334875,0.4990497795844199,0.5562894420381403,215.84849806916895,6.943184629007818e-97,3,-537.4356526008645,1084.871305201729,1107.2407586834904,199.29091550007996,644,648
polrights_fh ~ corruption_perception_index_cpi + gini + military_spending_pct_of_gdp,0.5152096604579467,0.5129513203669123,0.5485165257690613,228.13643636019412,8.163673467510496e-101,3,-528.3174309441137,1066.6348618882273,1089.0043153699887,193.76052410289427,644,648
polrights_fh ~ corruption_perception_index_cpi + gini + murder_per_mil_people,0.5103951857600679,0.5081144179918695,0.5512334680766434,223.78218110440267,1.9579149199922193e-99,3,-531.5192171810329,1073.0384343620658,1095.4078878438272,195.6847685951057,644,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + labour_force_participation_rate_percent,0.4602233914698858,0.45770890416306853,0.57878833302699,183.02871930278738,8.167447711303607e-86,3,-563.1276209974445,1136.255241994889,1158.6246954766505,215.73738178461625,644,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + life_expectancy_years,0.4392652994494792,0.4366531812792128,0.5899177373222693,168.1644055960454,1.6943406784888826e-80,3,-575.4695984704642,1160.9391969409285,1183.3086504226899,224.11389130398226,644,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + military_spending_pct_of_gdp,0.47636369583733773,0.473924396283785,0.5700692461971115,195.28708359886625,4.722520592447973e-90,3,-553.2916294039466,1116.5832588078931,1138.9527122896545,209.28644087607444,644,648
polrights_fh ~ corruption_perception_index_cpi + internet_users + murder_per_mil_people,0.48897469615466466,0.48659414349700003,0.5631627754780054,205.40385636096946,1.8650341896984057e-93,3,-545.3930731486315,1100.786146297263,1123.1555997790244,204.24608872455417,644,648
polrights_fh ~ corruption_perception_index_cpi + labour_force_participation_rate_percent + life_expectancy_years,0.4468212101385549,0.4442442903100079,0.5859296806408607,173.39352400050322,2.1651225573475183e-82,3,-571.0740100645576,1152.1480201291151,1174.5174736108766,221.09395238240023,644,648
polrights_fh ~ corruption_perception_index_cpi + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.4898673589685948,0.48749096467807584,0.5626706920211063,206.13892270445373,1.0631346504584108e-93,3,-544.8266126381178,1099.6532252762356,1122.022678757997,203.88931013272486,644,648
polrights_fh ~ corruption_perception_index_cpi + labour_force_participation_rate_percent + murder_per_mil_people,0.48601526999214967,0.4836209311877653,0.5647911025495147,202.9851703118132,1.1936918445927719e-92,3,-547.2639948164052,1104.5279896328104,1126.8974431145718,205.42890925029812,644,648
polrights_fh ~ corruption_perception_index_cpi + life_expectancy_years + military_spending_pct_of_gdp,0.4740639330561216,0.4716139203219111,0.5713197207179284,193.49447716599866,1.931798965467734e-89,3,-554.7114921101336,1119.4229842202672,1141.7924377020286,210.20560779310026,644,648
polrights_fh ~ corruption_perception_index_cpi + life_expectancy_years + murder_per_mil_people,0.4922603649256355,0.4898951181783947,0.5613494110596489,208.12220352903157,2.3447734263040414e-94,3,-543.3031693206246,1096.6063386412493,1118.9757921230107,202.93287587527746,644,648
polrights_fh ~ corruption_perception_index_cpi + military_spending_pct_of_gdp + murder_per_mil_people,0.5338296839983283,0.5316580831473889,0.5378795662328515,245.823114209679,2.7703956047444913e-106,3,-515.6278233507818,1041.2556467015636,1063.625100183325,186.31849148442126,644,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + gini,0.3423895090621295,0.3393261061540339,0.6388473601533098,111.76770386856234,2.8931170323966074e-58,3,-627.1038286183485,1264.207657236697,1286.5771107184585,262.83311152620513,644,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + internet_users,0.24074747962835544,0.23721058900550618,0.6864451789024116,68.06755008850463,3.0489060758133906e-38,3,-673.6696356002378,1357.3392712004757,1379.708724682237,303.4572974631064,644,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + labour_force_participation_rate_percent,0.15170461455501738,0.14775292797685757,0.7255816491290756,38.38983976954473,7.821084959709151e-23,3,-709.599448272511,1429.198896545022,1451.5683500267835,339.04586183204765,644,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + life_expectancy_years,0.1682670170918857,0.16439248456281075,0.7184634842314368,43.42898551739729,1.4387889366207364e-25,3,-703.2109939136425,1416.421987827285,1438.7914413090464,332.4262171440406,644,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + military_spending_pct_of_gdp,0.24176342253651997,0.23823126456696964,0.6859857648471557,68.44637884847924,1.985181824287752e-38,3,-673.2358063860523,1356.4716127721047,1378.841066253866,303.05124640497155,644,648
polrights_fh ~ edu_exp_gdp_per_person + electricity_use_per_person + murder_per_mil_people,0.3441311218673546,0.3410758320623889,0.6380008389959292,112.63452694668797,1.234830854808818e-58,3,-626.244610129076,1262.489220258152,1284.8586737399135,262.1370254403242,644,648
polrights_fh ~ edu_exp_gdp_per_person + gini + internet_users,0.37255826639372747,0.36963540117506477,0.6240213361241929,127.46337532600172,8.170499620157106e-65,3,-611.8881454448313,1233.7762908896625,1256.145744371424,250.7752923922156,644,648
polrights_fh ~ edu_exp_gdp_per_person + gini + labour_force_participation_rate_percent,0.3618380570659151,0.358865252983924,0.6293296431885272,121.71607919199599,1.8839807494641031e-62,3,-617.3771163746774,1244.7542327493547,1267.1236862311162,255.0599350684946,644,648
polrights_fh ~ edu_exp_gdp_per_person + gini + life_expectancy_years,0.34563997481802394,0.3425917138311514,0.6372665430323194,113.38923284670649,5.894735377136757e-59,3,-625.498376290259,1260.996752580518,1283.3662060622794,261.53396858322583,644,648
polrights_fh ~ edu_exp_gdp_per_person + gini + military_spending_pct_of_gdp,0.34871079158706814,0.3456768356472565,0.6357694848303338,114.93601044473299,1.3018508618024504e-59,3,-623.974312334737,1257.948624669474,1280.3180781512353,260.30662756987965,644,648
polrights_fh ~ edu_exp_gdp_per_person + gini + murder_per_mil_people,0.3708134558367954,0.367882462618644,0.6248883832660849,126.51460724656619,1.9933221193691973e-64,3,-612.7878848407028,1235.5757696814055,1257.945223163167,251.4726565523405,644,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + labour_force_participation_rate_percent,0.2228505894688782,0.2192303282396959,0.6944884046339226,61.556494231002326,5.317126653108938e-35,3,-681.2182523850549,1372.4365047701099,1394.8059582518713,310.61030884610534,644,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + life_expectancy_years,0.2229016366538242,0.2192816132220874,0.6944655954676702,61.5746391859344,5.206431515959479e-35,3,-681.1969696935737,1372.3939393871474,1394.7633928689088,310.5899063576431,644,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + military_spending_pct_of_gdp,0.2895146465011227,0.2862049321214696,0.6640339786502054,87.47420873563797,1.7382640448797682e-47,3,-652.1605422757447,1314.3210845514893,1336.6905380332507,283.9660843725018,644,648
polrights_fh ~ edu_exp_gdp_per_person + internet_users + murder_per_mil_people,0.3708326652705113,0.3679017615372995,0.6248788440891021,126.52502402872342,1.97387248445347e-64,3,-612.7779927799261,1235.5559855598522,1257.9254390416136,251.46497894484526,644,648
polrights_fh ~ edu_exp_gdp_per_person + labour_force_participation_rate_percent + life_expectancy_years,0.1309908973737031,0.1269427183242018,0.7343868654197601,32.35798016143513,1.7208183252219338e-19,3,-717.4158488072031,1444.8316976144063,1467.2011510961677,347.3246998570831,644,648
polrights_fh ~ edu_exp_gdp_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.21827139720966046,0.21462980433951917,0.6965314641620421,59.9384404004474,3.4898568697637006e-34,3,-683.1217529114044,1376.2435058228089,1398.6129593045703,312.44051588561047,644,648
polrights_fh ~ edu_exp_gdp_per_person + labour_force_participation_rate_percent + murder_per_mil_people,0.37532108700669486,0.3724110920703907,0.6226459406096417,128.97654299129613,1.9801986886736043e-65,3,-610.4583226337759,1230.9166452675518,1253.2860987493132,249.67105097833655,644,648
polrights_fh ~ edu_exp_gdp_per_person + life_expectancy_years + military_spending_pct_of_gdp,0.2450249028339505,0.24150793809559945,0.68450882465185,69.6694226592741,4.987191090368886e-39,3,-671.8391461957955,1353.678292391591,1376.0477458733524,301.74770118090964,644,648
polrights_fh ~ edu_exp_gdp_per_person + life_expectancy_years + murder_per_mil_people,0.3119508447033311,0.30874564677493055,0.6534652100904277,97.32654633874424,5.87319868294046e-52,3,-641.7640137732193,1293.5280275464386,1315.8974810282,274.9988068342513,644,648
polrights_fh ~ edu_exp_gdp_per_person + military_spending_pct_of_gdp + murder_per_mil_people,0.40522442328402936,0.40245372960367554,0.6075601790978573,146.25377975102253,2.8407060565834247e-72,3,-594.564947773539,1199.129895547078,1221.4993490288393,237.71931506917073,644,648
polrights_fh ~ electricity_use_per_person + gini + internet_users,0.3744081470554477,0.3714938992932837,0.6231007589232895,128.4750568968163,3.1652573370231465e-65,3,-610.9314882948999,1231.8629765897997,1254.232430071561,250.0359339163819,644,648
polrights_fh ~ electricity_use_per_person + gini + labour_force_participation_rate_percent,0.3618069116045778,0.35883396243503396,0.6293450002018526,121.69966285030227,1.9137393328581602e-62,3,-617.3929287924257,1244.7858575848513,1267.1553110666127,255.07238325572095,644,648
polrights_fh ~ electricity_use_per_person + gini + life_expectancy_years,0.35036106448308735,0.3473347961499341,0.6349634998663894,115.77329764344364,5.764826373890061e-60,3,-623.15230120736,1256.30460241472,1278.6740558964814,259.64704812869786,644,648
polrights_fh ~ electricity_use_per_person + gini + military_spending_pct_of_gdp,0.35618041445658144,0.3531812548965966,0.6321131572753552,118.76007505862022,3.206274585921757e-61,3,-620.2368894141257,1250.4737788282514,1272.8432323100128,257.3211760787979,644,648
polrights_fh ~ electricity_use_per_person + gini + murder_per_mil_people,0.3839015521129799,0.38103152828741926,0.6183548840832015,133.76249656672644,2.3302903328588124e-67,3,-605.9770754734493,1221.9541509468986,1244.32360442866,246.24161915918995,644,648
polrights_fh ~ electricity_use_per_person + internet_users + labour_force_participation_rate_percent,0.23412243032572416,0.23055467767196203,0.689433549359988,65.62182220755822,4.932912397257046e-37,3,-676.4845161006872,1362.9690322013744,1385.3384856831358,306.1051906251235,644,648
polrights_fh ~ electricity_use_per_person + internet_users + life_expectancy_years,0.22922006944614726,0.22562947970754244,0.6916365520666996,63.83911450022942,3.8093073252964e-36,3,-678.5518216824418,1367.1036433648835,1389.473096846645,308.0645613796349,644,648
polrights_fh ~ electricity_use_per_person + internet_users + military_spending_pct_of_gdp,0.28321003951459855,0.27987095584774113,0.6669736781685811,84.8166945697226,2.956858102643113e-46,3,-655.0229275904908,1320.0458551809816,1342.415308662743,286.48590346610354,644,648
polrights_fh ~ electricity_use_per_person + internet_users + murder_per_mil_people,0.37947358984952917,0.3765829388705674,0.6205729955204117,131.2761701815061,2.3247766103363454e-66,3,-608.2973683180885,1226.594736636177,1248.9641901179384,248.01138274334988,644,648
polrights_fh ~ electricity_use_per_person + labour_force_participation_rate_percent + life_expectancy_years,0.13042925354413018,0.12637845814138549,0.7346241455745545,32.19843032698073,2.1143416278595772e-19,3,-717.6251835780024,1445.2503671560048,1467.6198206377662,347.5491771081769,644,648
polrights_fh ~ electricity_use_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.2005939931633447,0.19687005213770814,0.7043628494746128,53.866049913895715,4.485462374829467e-31,3,-690.3668255738986,1390.7336511477972,1413.1031046295586,319.50580327567747,644,648
polrights_fh ~ electricity_use_per_person + labour_force_participation_rate_percent + murder_per_mil_people,0.3743312764650004,0.3714166706100238,0.6231390399940244,128.43289799402126,3.292662028855787e-65,3,-610.971297862634,1231.942595725268,1254.3120492070293,250.0666574780503,644,648
polrights_fh ~ electricity_use_per_person + life_expectancy_years + military_spending_pct_of_gdp,0.22490937296376134,0.22129870234092175,0.6935678934423308,62.29019383298962,2.273478508721356e-35,3,-680.3587896378718,1370.7175792757437,1393.087032757505,309.78745629223687,644,648
polrights_fh ~ electricity_use_per_person + life_expectancy_years + murder_per_mil_people,0.340041909557375,0.33696757062674176,0.6399866528325432,110.60651321463857,9.082814978292435e-58,3,-628.2584145051168,1266.5168290102336,1288.886282491995,263.7713977776486,644,648
polrights_fh ~ electricity_use_per_person + military_spending_pct_of_gdp + murder_per_mil_people,0.41344889298771165,0.4107165120544246,0.6033449297508945,151.31451400165207,3.2399352526884976e-74,3,-590.0534586565166,1190.1069173130331,1212.4763707947945,234.43216714093603,644,648
polrights_fh ~ gini + internet_users + labour_force_participation_rate_percent,0.380855670902684,0.37797145818949784,0.6198815178728736,132.0483989136655,1.135923043804978e-66,3,-607.5749273786131,1225.1498547572262,1247.5193082389876,247.45899395304326,644,648
polrights_fh ~ gini + internet_users + life_expectancy_years,0.3726969957988582,0.36977477683518833,0.6239523457384133,127.53903811875918,7.61036822579937e-65,3,-611.8165000717269,1233.6330001434537,1256.0024536252151,250.71984516058964,644,648
polrights_fh ~ gini + internet_users + military_spending_pct_of_gdp,0.38445004278913864,0.3815825740443676,0.6180795730438529,134.07296713876784,1.7505116363704074e-67,3,-605.6885012503386,1221.3770025006772,1243.7464559824386,246.022398947462,644,648
polrights_fh ~ gini + internet_users + murder_per_mil_people,0.4061258788961198,0.40335938454315134,0.607099588385712,146.8016294558331,1.7449997540496e-72,3,-594.0735133755866,1198.1470267511731,1220.5164802329346,237.359022180457,644,648
polrights_fh ~ gini + labour_force_participation_rate_percent + life_expectancy_years,0.3671115345024475,0.3641632963091359,0.6267240033865469,124.5189535008679,1.3115771265540025e-63,3,-614.6886053889738,1239.3772107779475,1261.746664259709,252.95223681503413,644,648
